GenePublicName,SequenceNameGene,SequenceNameTranscript,Db10,OP50,Ratio_Db10vsOP50,log2_Ratio_Db10vsOP50,Infection_upregulated,Infection_downregulated
B0035.13,B0035.13,B0035.13,"1,95248","0,344965","5,659937",2.500785994701,1,
dnj-1,B0035.14,B0035.14.1,"1,25891","0,521411","2,414429",1.271682039467,,
dnj-1,B0035.14,B0035.14.2,"1,57229","0,833816","1,885656",0.915066509332,,
B0035.15,B0035.15,B0035.15,"0,53349","0,315219","1,692442",0.759106393478,,
B0035.16,B0035.16,B0035.16,"0,167318","0,075989","2,20186",1.138722741506,,
B0035.18,B0035.18,B0035.18,"2,72516","6,45083","0,422451",-1.243144081674,,
B0035.1,B0035.1,B0035.1a,"2,20292","2,10726","1,045395",0.064048164188,,
B0035.1,B0035.1,B0035.1b,"2,20859","2,01772","1,094597",0.130399807619,,
dnj-2,B0035.2,B0035.2,"1,28098","0,369973","3,462361",1.791756153866,1,
B0035.3,B0035.3,B0035.3,"4,13852","1,79038","2,311532",1.208849334852,,
pfd-4,B0035.4,B0035.4.1,"4,29453","3,53256","1,215699",0.281786070096,,
pfd-4,B0035.4,B0035.4.2,"3,86358","4,25644","0,907702",-0.139709358700,,
pfd-4,B0035.4,B0035.4.3,"4,26593","3,51235","1,214552",0.280424259044,,
B0035.5,B0035.5,B0035.5.1,"0,737872","0,368422","2,00279",1.002011157126,,
B0035.5,B0035.5,B0035.5.2,"0,757595","0,371403","2,039819",1.028441142693,,
B0035.6,B0035.6,B0035.6,"0,62684","0,658982","0,951225",-0.072141462539,,
his-47,B0035.7,B0035.7,nan,nan,,,,
his-48,B0035.8,B0035.8,"4,41774","1,33886","3,299628",1.722303384227,1,
his-46,B0035.9,B0035.9,nan,nan,,,,
B0041.1,B0041.1,B0041.1,0,0,,,,
B0041.2,B0041.2,B0041.2a.1,"1,60948","1,92882","0,834438",-0.261123235731,,
B0041.2,B0041.2,B0041.2a.2,"1,61019","1,92835","0,835009",-0.260136347378,,
B0041.2,B0041.2,B0041.2b,"1,30033","1,5419","0,84333",-0.245830818165,,
B0041.2,B0041.2,B0041.2c,"1,71681","1,76866","0,970684",-0.042926383003,,
B0041.3,B0041.3,B0041.3,"0,819818","0,640204","1,280557",0.356771471434,,
rpl-4,B0041.4,B0041.4.1,"28,0565","43,0345","0,651954",-0.617157919255,,
rpl-4,B0041.4,B0041.4.2,"29,3705","44,5966","0,658582",-0.602565013360,,
rpl-4,B0041.4,B0041.4.3,"27,5779","42,7426","0,645209",-0.632161532146,,
B0041.5,B0041.5,B0041.5,"1,34998","0,756011","1,785662",0.836459024988,,
ptps-1,B0041.6,B0041.6a,"0,784467","0,3181","2,466102",1.302232472024,,
ptps-1,B0041.6,B0041.6b,"0,786326","0,318854","2,4661",1.302231302003,,
xnp-1,B0041.7,B0041.7,"0,583661","0,474752","1,229402",0.297956737172,,
B0041.8,B0041.8,B0041.8.1,"2,39892","1,45153","1,652684",0.724810901754,,
B0041.8,B0041.8,B0041.8.2,"2,1581","1,38309","1,560347",0.641866900568,,
bath-20,B0047.1,B0047.1a,"0,004457","0,020339","0,219126",-2.190167420027,,1
bath-20,B0047.1,B0047.1b,"0,005252","0,017521","0,299775",-1.738048021408,,1
B0047.2,B0047.2,B0047.2,"0,010583","0,014085","0,751351",-0.412441062435,,
bath-24,B0047.3,B0047.3,"0,059122","0,043517","1,358585",0.442104830736,,
math-1,B0047.4,B0047.4,0,"0,001373",0,,,
tsp-20,B0198.1,B0198.1,"0,069702","0,045097","1,545599",0.628166065865,,
B0198.2,B0198.2,B0198.2,"0,06789","0,040265","1,686081",0.753673845587,,
B0198.3,B0198.3,B0198.3,"0,088147","0,059728","1,475814",0.561510906909,,
B0205.10,B0205.10,B0205.10.1,"0,007008","0,004583","1,529046",0.612631809559,,
B0205.10,B0205.10,B0205.10.2,"0,007503","0,004731","1,586006",0.665398228894,,
