GenePublicName,SequenceNameGene,SequenceNameTranscript,DC,OP50,Ratio_DCvsOP50,log2_Ratio_DCvsOP50,Infection_upregulated,Infection_downregulated
sra-6,AH6.10,AH6.10,0,"0,000822",0.000000000000,,,
sra-7,AH6.11,AH6.11,"0,000435",0,,,,
sra-8,AH6.12,AH6.12,0,0,,,,
sra-9,AH6.14,AH6.14,"0,000294",0,,,,
AH6.2,AH6.2,AH6.2,"0,219472","0,208163",1.054327618261,0.07632323490,,
AH6.3,AH6.3,AH6.3,"0,176846","0,163808",1.079593182262,0.11048777118,,
sra-1,AH6.4,AH6.4,0,0,,,,
mex-6,AH6.5,AH6.5,"8,67431","8,84069",0.981180201998,-0.02740997103,,
sra-2,AH6.6,AH6.6,0,0,,,,
sra-3,AH6.7,AH6.7,"0,000588","0,002376",0.247515653403,-2.01440832778,,1
sra-4,AH6.8,AH6.8,0,0,,,,
AH9.1,AH9.1,AH9.1,"0,019209","0,029347",0.654536037510,-0.61145546848,,1
crn-4,AH9.2,AH9.2,"0,575949","0,589507",0.977001121276,-0.03356787695,,
AH9.3,AH9.3,AH9.3,"0,342642","0,293496",1.167450323003,0.22336116211,,
AH9.4,AH9.4,AH9.4,"0,004306","0,001221",3.526213639937,1.81811988474,1,
AH9.6,AH9.6,AH9.6,"0,01685","0,01552",1.085656112679,0.11856719421,,
B0001.1,B0001.1,B0001.1,"1,68747","1,81286",0.930833048332,-0.10340566173,,
B0001.2,B0001.2,B0001.2,"0,710423","0,760661",0.933954810356,-0.09857534844,,
B0001.3,B0001.3,B0001.3,"0,922856","0,866304",1.065279624704,0.09123217245,,
B0001.4,B0001.4,B0001.4,"1,83207","2,3204",0.789549215652,-0.34089889724,,
B0001.5,B0001.5,B0001.5,"1,25668","1,27563",0.985144595220,-0.02159260230,,
B0001.6,B0001.6,B0001.6.1,"0,623494","0,691872",0.901169580500,-0.15012947950,,
B0001.6,B0001.6,B0001.6.2,"0,609181","0,691394",0.881090955374,-0.18263713806,,
B0001.6,B0001.6,B0001.6.3,"0,613463","0,713152",0.860213530916,-0.21723327024,,
B0001.7,B0001.7,B0001.7,"0,823699","0,926429",0.889111847751,-0.16956317747,,
B0001.8,B0001.8,B0001.8.1,"0,684436","0,662015",1.033867812663,0.04805173864,,
B0001.8,B0001.8,B0001.8.2,"0,701226","0,702028",0.998857595424,-0.00164908356,,
B0001.8,B0001.8,B0001.8.3,"0,701149","0,702125",0.998609934129,-0.00200683628,,
amx-2,B0019.1,B0019.1,"0,165476","0,241809",0.684325231898,-0.54724595263,,
B0019.2,B0019.2,B0019.2,"0,491908","0,514384",0.956305017263,-0.06445725000,,
col-149,B0024.1,B0024.1,"0,37258","0,638656",0.583381350837,-0.77748882707,,1
B0024.10,B0024.10,B0024.10.1,"0,886045","0,933749",0.948911324135,-0.07565482135,,
