wbid,intestine,head,pharynx,hypodermis,tail,vulvalmuscle,tailneurons,bodywallmusculature,vulva,ventralnervecord,nervoussystem,spermatheca,headneurons,germline
WBGene00000866,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000868,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000869,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000870,1,0,0,1,0,0,1,0,1,0,0,0,1,0
WBGene00000871,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000872,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000874,0,0,1,1,0,0,0,0,0,0,0,0,1,0
WBGene00000875,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000879,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000880,1,0,1,0,0,0,0,1,0,0,0,0,0,1
WBGene00000890,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000894,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000895,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000897,1,0,0,0,0,0,1,0,0,1,0,0,0,0
WBGene00000898,1,0,0,1,0,0,0,0,0,0,0,0,1,0
WBGene00000899,1,0,1,0,0,0,1,0,0,0,0,0,1,0
WBGene00000900,1,0,1,1,0,0,1,1,0,1,0,0,1,0
WBGene00000901,1,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000902,1,0,0,0,0,0,1,0,0,0,0,0,1,0
WBGene00000903,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000904,1,0,0,0,0,0,1,0,0,1,0,0,1,0
WBGene00000905,0,0,0,0,0,1,0,0,0,0,0,1,0,0
WBGene00000907,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000908,1,0,0,1,0,0,1,1,0,0,0,0,1,0
WBGene00000910,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000911,1,0,0,1,0,0,0,1,0,0,1,0,0,0
WBGene00000912,1,0,1,1,0,0,0,1,1,0,1,0,0,0
WBGene00000913,1,0,0,1,0,0,0,1,1,0,1,0,0,1
WBGene00000914,1,1,1,0,1,1,0,1,0,0,1,0,0,0
WBGene00000915,1,0,1,0,0,0,0,1,0,0,1,0,0,0
WBGene00000917,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000920,1,0,1,0,0,1,1,0,0,1,0,0,1,0
WBGene00000930,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000931,1,0,0,1,0,0,0,0,0,0,0,0,0,1
WBGene00000934,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000935,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00000936,0,0,0,0,0,0,0,1,0,0,1,0,0,0
WBGene00000938,0,0,0,0,1,0,0,0,0,0,1,0,0,0
WBGene00000939,1,0,0,0,0,0,0,0,0,0,1,0,0,1
WBGene00000942,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000950,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000951,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000952,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000953,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000955,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000960,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000961,0,0,0,0,0,0,0,0,1,1,0,1,0,0
WBGene00000962,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00000963,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000964,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00000969,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000973,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000979,0,0,0,1,0,0,1,0,0,0,0,0,1,0
WBGene00000984,1,0,0,1,0,0,0,0,0,0,0,1,0,0
WBGene00000986,1,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000991,1,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00000994,0,0,0,0,0,0,0,0,0,0,1,0,0,0
WBGene00000995,0,1,0,1,1,0,0,0,0,0,1,0,0,0
WBGene00000996,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00000998,1,0,0,1,0,1,0,1,0,0,0,0,0,0
WBGene00001000,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00001005,1,1,1,0,1,0,0,1,0,1,0,0,0,0
WBGene00001006,1,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001007,0,0,1,1,0,0,0,0,0,0,0,0,0,0
WBGene00001016,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WBGene00001018,0,0,1,0,0,0,0,1,0,0,1,0,0,0
WBGene00001025,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001028,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00001029,0,1,0,1,1,0,0,0,0,0,1,1,0,0
WBGene00001045,1,0,1,1,0,0,0,1,1,0,0,0,0,0
WBGene00001046,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00001049,0,1,0,0,1,0,0,0,0,0,0,0,0,0
WBGene00001052,0,0,0,0,0,0,1,0,0,0,0,0,1,0
WBGene00001053,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001055,0,1,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001061,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00001064,0,0,1,0,0,0,0,0,0,0,0,0,1,0
WBGene00001067,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WBGene00001069,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001073,0,0,0,1,1,0,0,0,0,0,0,0,0,0
WBGene00001075,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001078,0,0,0,0,0,0,0,1,0,0,0,0,0,0
WBGene00001081,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001082,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001085,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WBGene00001087,0,0,0,0,0,0,0,0,0,0,0,0,0,1
WBGene00001089,1,0,0,1,0,1,1,1,1,0,0,1,1,0
