#Table S9 from A validated gene regulatory network and GWAS identifies early regulators of T cell–associated diseases
# Contains all known SNPs at time of publication,,,,,
Link,Disease_Trait,Mapped_gene,Upstream_gene_id (Entrez),Downstream_gene_id (Entrez),p_Value
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,CFH,,,7.00E-32
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,CD34,407025,947,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,GLI2,3625,2736,5.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,Intergenic,100271164,644534,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,Intergenic,132391,645368,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,Intergenic,,,8.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,Intergenic,5550,639,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,Intergenic,100420058,157638,5.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,MBL2,4153,100874423,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,ARMS2,,,1.00E-25
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,TYR,2915,7299,9.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,POSTN,100271551,400121,6.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,ITGB1BP3,27231,693222,7.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/23326517,Age-related macular degeneration,PVRL2,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/22694956,Age-related macular degeneration,TNXB,,,1.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/22694956,Age-related macular degeneration,NOTCH4,,,2.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/22694956,Age-related macular degeneration,CFB,,,9.00E-17
http://www.ncbi.nlm.nih.gov/pubmed/22694956,Age-related macular degeneration,TOMM40,,,8.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/22694956,Age-related macular degeneration,ARMS2,,,3.00E-72
http://www.ncbi.nlm.nih.gov/pubmed/22694956,Age-related macular degeneration,CFH,,,2.00E-47
http://www.ncbi.nlm.nih.gov/pubmed/21909106,Age-related macular degeneration,TNFRSF10A,,,1.00E-12
http://www.ncbi.nlm.nih.gov/pubmed/21909106,Age-related macular degeneration,REST,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,FRK,728402,1300,1.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,VEGFA,7422,221416,9.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,HTRA1,,,4E-322
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,CFH,,,1.00E-261
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,CFB,,,6.00E-31
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,C3,,,5.00E-29
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,C2,,,2.00E-23
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,TIMP3,,,2.00E-15
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,LIPC,441726,3990,3.00E-12
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,CFI,81579,3426,4.00E-10
http://www.ncbi.nlm.nih.gov/pubmed/21665990,Age-related macular degeneration,CETP,9709,1071,7.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/21197116,Age-related macular degeneration,NR,,,NS
http://www.ncbi.nlm.nih.gov/pubmed/20861866,Age-related macular degeneration,CFH,,,3.00E-64
http://www.ncbi.nlm.nih.gov/pubmed/20861866,Age-related macular degeneration,ARMS2,,,1.00E-60
http://www.ncbi.nlm.nih.gov/pubmed/20861866,Age-related macular degeneration,SKIV2L,,,5.00E-15
http://www.ncbi.nlm.nih.gov/pubmed/20861866,Age-related macular degeneration,C3,,,1.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,TIMP3,,,1.00E-11
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,LIPC,441726,3990,1.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,CETP,9709,1071,7.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,NR,,,2.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,NR,4160,359797,4.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,CFH,,,2.00E-76
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,ARMS2,,,4.00E-60
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,C2,,,3.00E-21
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,C3,,,1.00E-10
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,CFI,,,3.00E-07
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,CFH,,,6.00E-16
http://www.ncbi.nlm.nih.gov/pubmed/20385819,Age-related macular degeneration,C2,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,LIPC,441726,3990,1.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,TIMP3,,,4.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,Intergenic,441726,3990,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,RREB1,,,1.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,COL8A1,,,3.00E-06
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,CFH,,,4.00E-117
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,CFH,,,2.00E-111
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,CFI,81579,3426,9.00E-09
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,CFB,,,2.00E-20
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,C3,,,2.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/20385826,Age-related macular degeneration,ARMS2,,,5.00E-119
http://www.ncbi.nlm.nih.gov/pubmed/15761122,Age-related macular degeneration,CFH,,,4.00E-08
http://www.ncbi.nlm.nih.gov/pubmed/23577725,Age-related macular degeneration,CFHR4,,,1.00E-31
http://www.ncbi.nlm.nih.gov/pubmed/23577725,Age-related macular degeneration,CFB,,,2.00E-10
http://www.ncbi.nlm.nih.gov/pubmed/23536807,Age-related macular degeneration,CFH,,,1.00E-16
http://www.ncbi.nlm.nih.gov/pubmed/23536807,Age-related macular degeneration,ARMS2,,,1.00E-16
