level_0,index,Unnamed: 0,target_id,pval,qval,b,se_b,mean_obs,var_obs,tech_var,sigma_sq,smooth_sigma_sq,final_sigma_sq,ens_gene,ext_gene
8503,6060,6061,F45E10.2a,0.02500368,0.087222044,-0.7006670359999999,0.312609958,4.8729949999999995,0.610124531,0.090075809,0.0012856710000000002,0.05651167,0.05651167,WBGene00009729,F45E10.2
8524,3292,3293,F45E4.8.1,0.001206523,0.007746591,1.072508494,0.33129379600000003,4.719328979,0.47695661100000003,0.10249259699999999,-0.013815000000000001,0.062140772000000004,0.062140772000000004,WBGene00003758,nlp-20
8660,1157,1158,F46F6.2a,4.3299999999999997e-07,7.91e-06,0.56671733,0.112137952,6.997169434,0.064707288,0.005817541999999999,0.001483589,0.013044838999999999,0.013044838999999999,WBGene00009793,pkn-1
8668,867,868,F46G10.5a,2.3500000000000002e-08,5.72e-07,-1.035004118,0.185349905,6.49036672,0.187669859,0.009293173,0.042238708,0.018491261999999998,0.042238708,WBGene00004238,ptr-24
8756,183,184,F47G4.7.1,2.0600000000000002e-18,2.36e-16,-1.5062711919999998,0.172063128,7.734882519,0.39914063899999996,0.000503408,0.043905172,0.008879446,0.043905172,WBGene00004875,smd-1
8847,1801,1802,F49B2.1,1.6899999999999997e-05,0.00019785,1.81010891,0.420678117,3.2853108489999996,0.788251603,0.095943445,0.010163229000000001,0.169511673,0.169511673,WBGene00009861,fbxb-8
8857,1273,1274,F49C12.13,9.31e-07,1.55e-05,-0.378149326,0.07708395700000001,7.845232417,0.03004679,0.00040967099999999996,0.00280389,0.008503234,0.008503234,WBGene00009882,vha-17
8884,5996,5997,F49E11.1n.1,0.023754715,0.083745166,0.23040132300000002,0.101899092,8.57986812,0.033889393,0.008489219000000001,0.003852289,0.007085919,0.007085919,WBGene00003150,mbk-2
8895,866,867,F49E12.6,2.27e-08,5.529999999999999e-07,0.8997833270000001,0.16095490699999998,6.040747177999999,0.165314929,0.002795171,0.036064552,0.025561932000000002,0.036064552,WBGene00009899,efl-3
8940,5200,5201,F49F1.1,0.012907126000000001,0.052469073,-1.21840796,0.49004439200000005,5.20623124,0.9324911770000001,0.008960796,0.35125446299999996,0.046081834,0.35125446299999996,WBGene00018643,F49F1.1
9069,351,352,F52F10.3,2.85e-13,1.71e-11,2.125384479,0.29109574,4.069403476000001,0.9769277479999999,0.030795991,0.049768882,0.096309104,0.096309104,WBGene00018707,oac-31
9075,1620,1621,F52F12.6a,6.67e-06,8.7e-05,0.742227141,0.16479887599999998,5.676017099,0.10361345599999999,0.007165372,0.023130882999999998,0.033572633,0.033572633,WBGene00009939,ztf-11
9164,6021,6022,F53B7.5b,0.024315801,0.085371801,1.108302776,0.492119174,3.1592830239999996,0.63791903,0.06587663099999999,0.297395291,0.18707484600000002,0.297395291,WBGene00009968,fig-1
9177,2625,2626,F53C11.7.2,0.000283452,0.002282188,0.340047925,0.09367783800000001,7.091137633,0.026173057000000003,0.000886533,0.009064253000000001,0.012276773000000001,0.012276773000000001,WBGene00009976,swan-2
9178,2353,2354,F53C11.8,0.00013264,0.001191472,0.35148817,0.09197636599999999,7.140740076,0.027136531000000002,0.0007841839999999999,0.005599852,0.011905293999999999,0.011905293999999999,WBGene00009977,swan-1
9275,1651,1652,F53H4.2.1,7.93e-06,0.00010153799999999999,-1.112099446,0.248960706,7.805793407,0.331890081,0.001838222,0.091133928,0.008632018,0.091133928,WBGene00010007,F53H4.2
9291,1752,1753,F54A5.2a,1.4000000000000001e-05,0.00016888799999999999,1.000294293,0.23028001899999997,4.622326905,0.207468793,0.013465625,0.04240648,0.066077705,0.066077705,WBGene00018787,cutl-20
9297,1861,1862,F54B11.3b,2.3e-05,0.00026069099999999996,4.604229277,1.0874448209999998,2.592061196,4.339478572,1.4807811869999998,-0.959679855,0.293023171,0.293023171,WBGene00006816,unc-84
9384,475,476,F54D5.4,2.36e-11,1.0499999999999999e-09,-1.794338684,0.26853906899999996,7.10455624,0.538229621,0.001076685,0.107093163,0.012173946000000001,0.107093163,WBGene00010050,F54D5.4
9416,2509,2510,F54E2.3i,0.000209139,0.001762195,4.837719701,1.304771802,4.779198763,6.5516635260000005,1.653657647,0.899986537,0.059867439,0.899986537,WBGene00004130,ketn-1
9464,4481,4482,F54G8.3,0.006400763,0.030194409,0.247572458,0.09080189699999999,7.186205168,0.016727501999999998,0.0007818110000000001,0.00353447,0.011585666000000001,0.011585666000000001,WBGene00002081,ina-1
9647,1190,1191,F55H12.2,5.47e-07,9.7e-06,-1.588929707,0.317202682,5.127878125,0.532938271,0.007240323000000001,0.14368598900000001,0.048371408,0.14368598900000001,WBGene00010133,F55H12.2
9670,817,818,F56A12.1,1.38e-08,3.5700000000000003e-07,2.6964340960000004,0.47507698600000003,3.569339563,1.4861302730000001,0.095862949,0.24268426399999998,0.136826105,0.24268426399999998,WBGene00006775,unc-39
9797,359,360,F56F10.1.1,4.91e-13,2.89e-11,-1.13127477,0.156520637,6.495467838,0.197999223,0.01832059,0.012810437,0.018427475,0.018427475,WBGene00018984,F56F10.1
9828,163,164,F56H11.1c,3.07e-19,3.95e-17,4.479938177,0.499639524,3.3641256580000003,3.4855346010000003,0.21497519899999998,0.07043599,0.159484283,0.159484283,WBGene00001403,fbl-1
9919,5364,5365,F57C7.1a.1,0.014777135,0.058235407999999995,0.23381869,0.09591399199999999,7.252193551,0.022476459,0.0026417059999999997,0.008586181,0.011157535,0.011157535,WBGene00010199,bet-2
9925,2692,2693,F57C7.3a,0.00033724199999999997,0.002647723,0.33143291199999997,0.09245318400000001,7.132765269,0.027251797999999997,0.000857967,0.005792744,0.01196342,0.01196342,WBGene00004749,sdn-1
9942,3873,3874,F57F10.1c,0.003020923,0.016487188,3.2444083310000003,1.0940138179999999,2.693936698,3.0169075569999997,1.525145201,0.026159373,0.270154151,0.270154151,WBGene00019018,abts-3
9946,106,107,F57F5.1,1.8300000000000002e-22,3.6200000000000004e-20,-3.5345757160000004,0.36249318799999997,8.748822611,2.184972517,0.000287063,0.19681490399999998,0.006974949,0.19681490399999998,WBGene00010204,F57F5.1
9955,34,35,F57G12.1,3.63e-37,2.1899999999999996e-34,1.256530249,0.098643406,6.948827623,0.25251262,0.001123566,0.012335365,0.013472216,0.013472216,WBGene00010221,F57G12.1
10124,111,112,F58H7.2,3.29e-22,6.21e-20,-1.222047067,0.126099787,6.535076364,0.249213839,0.001401549,0.022450186,0.017936837,0.022450186,WBGene00019068,faah-3
10133,2148,2149,F59A1.8,6.809999999999999e-05,0.000670085,-0.846357603,0.212503205,4.804136509,0.12138369,0.0087844,0.0036950409999999996,0.058952019,0.058952019,WBGene00010294,fbxa-129
10174,1384,1385,F59B1.2,1.88e-06,2.8699999999999996e-05,-0.9995215040000001,0.209712541,7.971260181,0.228487325,0.000359215,0.06560981,0.008132998,0.06560981,WBGene00019097,F59B1.2
